country,food_category,amount,type
Spain,Wheat and Wheat Products,93.88,consumption
Spain,Rice,8.32,consumption
Spain,Soybeans,0.02,consumption
Spain,Nuts inc. Peanut Butter,7.44,consumption
Paraguay,Pork,26.24,consumption
Paraguay,Poultry,6.39,consumption
Paraguay,Beef,19.81,consumption
Paraguay,Lamb & Goat,0.56,consumption
Paraguay,Fish,3.6,consumption
Paraguay,Eggs,18.83,consumption
Paraguay,Milk - inc. cheese,75.72,consumption
Paraguay,Wheat and Wheat Products,31.51,consumption
Paraguay,Rice,4.91,consumption
Paraguay,Soybeans,0,consumption
Paraguay,Nuts inc. Peanut Butter,1.6,consumption
New Caledonia,Pork,19.9,consumption
New Caledonia,Poultry,44.36,consumption
New Caledonia,Beef,16.07,consumption
New Caledonia,Lamb & Goat,1.95,consumption
New Caledonia,Fish,19.38,consumption
New Caledonia,Eggs,8.85,consumption
New Caledonia,Milk - inc. cheese,108,consumption
New Caledonia,Wheat and Wheat Products,81.75,consumption
New Caledonia,Rice,17.47,consumption
New Caledonia,Soybeans,0.55,consumption
New Caledonia,Nuts inc. Peanut Butter,2.96,consumption
South Africa,Pork,4.16,consumption
South Africa,Poultry,37.57,consumption
South Africa,Beef,18.03,consumption
South Africa,Lamb & Goat,4.28,consumption
South Africa,Fish,5.56,consumption
South Africa,Eggs,7.21,consumption
South Africa,Milk - inc. cheese,55.75,consumption
South Africa,Wheat and Wheat Products,60.13,consumption
South Africa,Rice,17.41,consumption
South Africa,Soybeans,1.27,consumption
South Africa,Nuts inc. Peanut Butter,1.04,consumption
Barbados,Pork,8.3,consumption
Barbados,Poultry,42.62,consumption
Barbados,Beef,13.13,consumption
Barbados,Lamb & Goat,4.08,consumption
Barbados,Fish,37.41,consumption
Barbados,Eggs,9.61,consumption
Barbados,Milk - inc. cheese,110.48,consumption
Barbados,Wheat and Wheat Products,65.71,consumption
Barbados,Rice,15.66,consumption
Barbados,Soybeans,0.1,consumption
Barbados,Nuts inc. Peanut Butter,4.16,consumption
Lithuania,Pork,45.67,consumption
Lithuania,Poultry,26.84,consumption
Lithuania,Beef,4.49,consumption
Lithuania,Lamb & Goat,0.24,consumption
Lithuania,Fish,42.39,consumption
Lithuania,Eggs,13.11,consumption
Lithuania,Milk - inc. cheese,295.46,consumption
Lithuania,Wheat and Wheat Products,121.59,consumption
Lithuania,Rice,3.07,consumption
Lithuania,Soybeans,0.02,consumption
Lithuania,Nuts inc. Peanut Butter,2.13,consumption
Turkey,Pork,0.01,consumption
Turkey,Poultry,18.78,consumption
Turkey,Beef,11.64,consumption
Turkey,Lamb & Goat,4.68,consumption
Turkey,Fish,5.58,consumption
Turkey,Eggs,8.2,consumption
Turkey,Milk - inc. cheese,193.94,consumption
Turkey,Wheat and Wheat Products,169.96,consumption
Turkey,Rice,10.74,consumption
Turkey,Soybeans,1.71,consumption
Turkey,Nuts inc. Peanut Butter,7.97,consumption
Estonia,Pork,29.68,consumption
Estonia,Poultry,21.11,consumption
Estonia,Beef,7.19,consumption
Estonia,Lamb & Goat,0.44,consumption
Estonia,Fish,12.78,consumption
Estonia,Eggs,12.66,consumption
Estonia,Milk - inc. cheese,284.85,consumption
Estonia,Wheat and Wheat Products,89.36,consumption
Estonia,Rice,2.56,consumption
Estonia,Soybeans,0.04,consumption
Estonia,Nuts inc. Peanut Butter,4.29,consumption
Mexico,Pork,15.23,consumption
Mexico,Poultry,30.12,consumption
Mexico,Beef,15.33,consumption
Mexico,Lamb & Goat,0.89,consumption
Mexico,Fish,7.56,consumption
Mexico,Eggs,18.34,consumption
Mexico,Milk - inc. cheese,111.87,consumption
Mexico,Wheat and Wheat Products,35.21,consumption
Mexico,Rice,5.64,consumption
Mexico,Soybeans,0.02,consumption
Mexico,Nuts inc. Peanut Butter,2.51,consumption
Costa Rica,Pork,10.28,consumption
Costa Rica,Poultry,24.47,consumption
Costa Rica,Beef,15.23,consumption
Costa Rica,Lamb & Goat,0.02,consumption
Costa Rica,Fish,11.32,consumption
Costa Rica,Eggs,10.55,consumption
Costa Rica,Milk - inc. cheese,183.28,consumption
Costa Rica,Wheat and Wheat Products,39.31,consumption
Costa Rica,Rice,45.69,consumption
Costa Rica,Soybeans,1.54,consumption
Costa Rica,Nuts inc. Peanut Butter,1.38,consumption
Bolivia,Pork,8.89,consumption
Bolivia,Poultry,34.31,consumption
Bolivia,Beef,19.78,consumption
Bolivia,Lamb & Goat,1.72,consumption
Bolivia,Fish,2.18,consumption
Bolivia,Eggs,5.18,consumption
Bolivia,Milk - inc. cheese,46.04,consumption
Bolivia,Wheat and Wheat Products,49.99,consumption
Bolivia,Rice,26.99,consumption
Bolivia,Soybeans,0.01,consumption
Bolivia,Nuts inc. Peanut Butter,9.16,consumption
Ecuador,Pork,14.44,consumption
Ecuador,Poultry,21.85,consumption
Ecuador,Beef,16.61,consumption
Ecuador,Lamb & Goat,0.44,consumption
Ecuador,Fish,5.17,consumption
Ecuador,Eggs,8.01,consumption
Ecuador,Milk - inc. cheese,139.6,consumption
Ecuador,Wheat and Wheat Products,39.19,consumption
Ecuador,Rice,45.07,consumption
Ecuador,Soybeans,0,consumption
Ecuador,Nuts inc. Peanut Butter,0.98,consumption
Panama,Pork,13.48,consumption
Panama,Poultry,30.81,consumption
Panama,Beef,20.4,consumption
Panama,Lamb & Goat,0.01,consumption
Panama,Fish,11.05,consumption
Panama,Eggs,4.53,consumption
Panama,Milk - inc. cheese,70.29,consumption
Panama,Wheat and Wheat Products,38.96,consumption
Panama,Rice,66.42,consumption
Panama,Soybeans,3.53,consumption
Panama,Nuts inc. Peanut Butter,1.05,consumption
Czech Republic,Pork,41.17,consumption
Czech Republic,Poultry,19.09,consumption
Czech Republic,Beef,8.15,consumption
Czech Republic,Lamb & Goat,0.34,consumption
Czech Republic,Fish,8.25,consumption
